商品コード,商品名,カテゴリ,Q4_2024売上(千円),Q4_2025売上(千円),前年同期比(%),計画達成率(%)
P001,プラチナケアプラン,プレミアム,42500,48200,113.4,108.5
P002,ゴールドサポート,プレミアム,38200,35100,91.9,87.7
P003,シルバーベーシック,スタンダード,29800,33500,112.4,105.0
P004,ライトプラン,スタンダード,18500,12300,66.5,61.5
P005,スタータープラン,エントリー,11200,15800,141.1,131.6
P006,エンタープライズA,エンタープライズ,68500,72400,105.7,98.4
P007,エンタープライズB,エンタープライズ,52300,41800,79.9,69.6
P008,アドオン:分析機能,アドオン,8500,12100,142.4,121.0
P009,アドオン:連携API,アドオン,6800,5200,76.5,72.2
P010,アドオン:カスタムレポート,アドオン,3200,4800,150.0,160.0
